詞目,簡編本各讀音（主讀音在前）,字型目前顯示,目前狀態,建議,理由,各讀音釋義
棄養,ㄑㄧˋ ㄧㄤˇ / ㄑㄧˋ ㄧㄤˋ,ㄑㄧˋ ㄧㄤˇ,目前顯示=第1讀音,維持（已是主讀音）,,ㄑㄧˋ ㄧㄤˇ＝指遺棄而不再扶養或飼養。[例]飼主隨意棄養寵物，不僅缺乏公德心，還可能對生態環境造成影響。 ‖ ㄑㄧˋ ㄧㄤˋ＝父母逝世，子女不得奉養。亦泛指長者死亡。[例]祖父母雖已棄養多年，父親還是不忘天天祭拜他們。
切口,ㄑㄧㄝ ㄎㄡˇ / ㄑㄧㄝˋ ㄎㄡˇ,ㄑㄧㄝ ㄎㄡˇ,目前顯示=第1讀音,維持（已是主讀音）,,ㄑㄧㄝ ㄎㄡˇ＝以刀刃或鋒利物在物體上形成的切割口。[例]進行外科手術時，會先決定切口的位置。  ‖ ㄑㄧㄝˋ ㄎㄡˇ＝祕密幫會或各行業中特用的隱語。[例]江湖中人常以切口傳遞祕密消息，不是平常人所能了解的。
強辯,ㄑㄧㄤˊ ㄅㄧㄢˋ / ㄑㄧㄤˇ ㄅㄧㄢˋ,ㄑㄧㄤˊ ㄅㄧㄢˋ,目前顯示=第1讀音,維持（已是主讀音）,,ㄑㄧㄤˊ ㄅㄧㄢˋ＝有力的辯論。[例]這場辯論賽，對方的結辯理由充足，條理明暢，確是強辯。 ‖ ㄑㄧㄤˇ ㄅㄧㄢˋ＝理由不足，卻強為辯解。[例]只要是我的錯，我絕不強辯。
強記,ㄑㄧㄤˊ ㄐㄧˋ / ㄑㄧㄤˇ ㄐㄧˋ,ㄑㄧㄤˊ ㄐㄧˋ,目前顯示=第1讀音,維持（已是主讀音）,,ㄑㄧㄤˊ ㄐㄧˋ＝記憶力特強。[例]博聞強記 ‖ ㄑㄧㄤˇ ㄐㄧˋ＝勉強記住。[例]讀書要透澈理解，強記卻不能活用，再多的知識也無益。
傾倒,ㄑㄧㄥ ㄉㄠˇ / ㄑㄧㄥ ㄉㄠˋ,ㄑㄧㄥ ㄉㄠˋ,目前顯示=第2讀音,維持 ㄑㄧㄥ ㄉㄠˋ,傾倒垃圾較常見（不確定，請拍板）,ㄑㄧㄥ ㄉㄠˇ＝1.倒塌。[例]由於施工不當，屋牆突然傾倒。 2.十分讚賞、愛慕或佩服。[例]她風華絕代，任誰見了都會傾倒。 ‖ ㄑㄧㄥ ㄉㄠˋ＝全部倒出。[例]許多人缺乏公德心，隨處傾倒垃圾，造成環境汙染。 ◎
悉數,ㄒㄧ ㄕㄨˇ / ㄒㄧ ㄕㄨˋ,ㄒㄧ ㄕㄨˋ,目前顯示=第2讀音,維持 ㄒㄧ ㄕㄨˋ,全數,ㄒㄧ ㄕㄨˇ＝一一列舉細說。[例]每件收藏品他都能悉數它們的來歷。 ‖ ㄒㄧ ㄕㄨˋ＝全數、全部。[例]此次義賣所得將悉數捐贈慈善機構作救濟貧苦的基金。
下水,ㄒㄧㄚˋ ㄕㄨㄟˇ / ㄒㄧㄚˋ ˙ㄕㄨㄟ,ㄒㄧㄚˋ ㄕㄨㄟˇ,目前顯示=第1讀音,維持（已是主讀音）,,ㄒㄧㄚˋ ㄕㄨㄟˇ＝1.入水。[例]她實在鼓不起勇氣下水游泳。 2.將新建造完成的船舶從船臺、船塢等建造區域，初次移至水域的過程。[例]這艘 ‖ ㄒㄧㄚˋ ˙ㄕㄨㄟ＝雞、鴨的內臟。[例]下水湯
小子,ㄒㄧㄠˇ ㄗˇ / ㄒㄧㄠˇ ˙ㄗ,ㄒㄧㄠˇ ㄗˇ,目前顯示=第1讀音,維持（已是主讀音）,,ㄒㄧㄠˇ ㄗˇ＝1.對年幼者的稱呼。[例]子在陳曰：「歸與！歸與！吾黨之小子狂簡，斐然成章，不知所以裁之。」（《論語．公冶長》） 2.晚 ‖ ㄒㄧㄠˇ ˙ㄗ＝1.男孩子。[例]胖小子_x000D_ 2.對人輕慢或戲謔的稱呼。[例]傻小子、愣小子
限量,ㄒㄧㄢˋ ㄌㄧㄤˊ / ㄒㄧㄢˋ ㄌㄧㄤˋ,ㄒㄧㄢˋ ㄌㄧㄤˋ,目前顯示=第2讀音,維持 ㄒㄧㄢˋ ㄌㄧㄤˋ,限量供應,ㄒㄧㄢˋ ㄌㄧㄤˊ＝有固定範圍，可以估量。[例]他天資高又肯努力，前途無可限量。 ‖ ㄒㄧㄢˋ ㄌㄧㄤˋ＝數量有所限制的。[例]特價期間，廠商往往以限量供應作為促銷方法。
心思,ㄒㄧㄣ ㄙ / ㄒㄧㄣ ˙ㄙ,ㄒㄧㄣ ㄙ,目前顯示=第1讀音,維持（已是主讀音）,,ㄒㄧㄣ ㄙ＝精神、思慮。[例]為了辦好這次慈善義賣會，主辦人挖空心思籌劃。 ‖ ㄒㄧㄣ ˙ㄙ＝1.心機、想法。[例]他這麼做到底存的是什麼心思？ 2.心情、興致。[例]許多事情都還沒做完，他怎麼會有心思去玩呢？ 
相親,ㄒㄧㄤ ㄑㄧㄣ / ㄒㄧㄤˋ ㄑㄧㄣ,ㄒㄧㄤˋ ㄑㄧㄣ,目前顯示=第2讀音,維持 ㄒㄧㄤˋ ㄑㄧㄣ,日常用法,ㄒㄧㄤ ㄑㄧㄣ＝互相親密、親近。[例]我們彼此雖相隔兩地，但大家的心卻是彼此相繫、相親的。 ‖ ㄒㄧㄤˋ ㄑㄧㄣ＝透過安排，雙方以結婚為前提的初次會面。[例]爺爺奶奶是透過相親認識的。
相稱,ㄒㄧㄤ ㄔㄥˋ / ㄒㄧㄤ ㄔㄥ,ㄒㄧㄤˋ ㄔㄥ,目前顯示都不是,改 ㄒㄧㄤ ㄔㄥˋ,配合恰當；目前兩字都不對,ㄒㄧㄤ ㄔㄥˋ＝事物配合得恰當、合適。[例]他的能力和所擔任的職務十分相稱。 ‖ ㄒㄧㄤ ㄔㄥ＝互相稱呼。[例]她們兩人感情極好，彼此以姊妹相稱。
星星,ㄒㄧㄥ ㄒㄧㄥ / ㄒㄧㄥ ˙ㄒㄧㄥ,ㄒㄧㄥ ㄒㄧㄥ,目前顯示=第1讀音,維持（已是主讀音）,,ㄒㄧㄥ ㄒㄧㄥ＝1.頭髮花白的樣子。[例]經過歲月的洗禮，昔日英姿煥發的年輕人，如今已是兩鬢星星，滿頭華髮了。 2.形容零星細小。[例] ‖ ㄒㄧㄥ ˙ㄒㄧㄥ＝泛稱夜空中發光的星體。[例]長煙一空，萬里無雲，滿天的星星閃耀著清輝。
興起,ㄒㄧㄥ ㄑㄧˇ / ㄒㄧㄥˋ ㄑㄧˇ,ㄒㄧㄥ ㄑㄧˇ,目前顯示=第1讀音,維持（已是主讀音）,,ㄒㄧㄥ ㄑㄧˇ＝開始逐漸發展。[例]目前飲食界正興起一股銷售健康食品的潮流。 ‖ ㄒㄧㄥˋ ㄑㄧˇ＝產生興趣。[例]做事只憑一時興起而無法持之以恆，是難以有所成就的。
省事,ㄒㄧㄥˇ ㄕˋ / ㄕㄥˇ ㄕˋ,ㄕㄥˇ ㄕˋ,目前顯示=第2讀音,維持 ㄕㄥˇ ㄕˋ,減省手續,ㄒㄧㄥˇ ㄕˋ＝處理政務。[例]總統年事已高，任期屆滿後將不再繼續省事問政。 ‖ ㄕㄥˇ ㄕˋ＝減省辦事的手續。[例]使用免洗餐具雖然省事，卻造成了環境汙染。
褶子,ㄒㄩㄝˊ ˙ㄗ / ㄓㄜˊ ˙ㄗ,ㄓㄜˊ ㄗˇ,目前顯示都不是,改 ㄓㄜˊ ˙ㄗ,衣服紋路，日常；目前「子」不對,ㄒㄩㄝˊ ˙ㄗ＝古代男子穿的長袍。後常指傳統戲裝中的一種便服。 ‖ ㄓㄜˊ ˙ㄗ＝1.衣服折疊後固定而成的紋路。[例]這件裙子有很多褶子。_x000D_ 2.衣服折疊的痕跡。[例]他每天用熨斗把襯衫上的
暖暖,ㄋㄨㄢˇ ㄋㄨㄢˇ / ㄒㄩㄢ ㄒㄩㄢ,ㄋㄨㄢˇ ㄋㄨㄢˇ,目前顯示=第1讀音,維持（已是主讀音）,,ㄋㄨㄢˇ ㄋㄨㄢˇ＝地名，位於基隆。 ‖ ㄒㄩㄢ ㄒㄩㄢ＝柔順的樣子。[例]暖暖姝姝
兄弟,ㄒㄩㄥ ㄉㄧˋ / ㄒㄩㄥ ˙ㄉㄧ,ㄒㄩㄥ ㄉㄧˋ,目前顯示=第1讀音,維持（已是主讀音）,,ㄒㄩㄥ ㄉㄧˋ＝1.男子同胞先出生的為兄，後出生的為弟。[例]他們兄弟從小都是由外婆撫養長大的。 2.泛指意氣相投的男性之間的朋友。[例 ‖ ㄒㄩㄥ ˙ㄉㄧ＝男子自謙之詞。[例]兄弟今天能有這個地位，全靠大家幫忙。
正當,ㄓㄥˋ ㄉㄤ / ㄓㄥˋ ㄉㄤˋ,ㄓㄥˋ ㄉㄤ,目前顯示=第1讀音,維持（已是主讀音）,,ㄓㄥˋ ㄉㄤ＝正值、適逢。[例]正當我等得不耐煩之際，他才突然出現。 ‖ ㄓㄥˋ ㄉㄤˋ＝合理的、正確的。[例]從事休閒活動要選擇正當的娛樂場所。
準頭,ㄓㄨㄣˇ ㄊㄡˊ / ㄓㄨㄣˇ ˙ㄊㄡ,ㄓㄨㄣˇ ㄊㄡˊ,目前顯示=第1讀音,維持（已是主讀音）,,ㄓㄨㄣˇ ㄊㄡˊ＝鼻頭。相術上稱鼻子下部隆起的部位為「準頭」。[例]命相家認為鼻梁高挺，準頭渾圓有肉是富貴的象徵。 ‖ ㄓㄨㄣˇ ˙ㄊㄡ＝準確性、準確度。[例]他投籃挺有準頭的，幾乎每投必進。
莊家,ㄓㄨㄤ ㄐㄧㄚ / ㄓㄨㄤ ˙ㄐㄧㄚ,ㄓㄨㄤ ㄐㄧㄚ,目前顯示=第1讀音,維持（已是主讀音）,,ㄓㄨㄤ ㄐㄧㄚ＝農家、農民。[例]在這僻靜的山谷裡，散落著幾戶莊家。  ‖ ㄓㄨㄤ ˙ㄐㄧㄚ＝1.賭博時輪流做主發牌的人。[例]發牌時不作弊，是莊家應遵守的基本原則。 2.設立賭局或借貸錢物供人賭博，而從中獲取利益
重犯,ㄓㄨㄥˋ ㄈㄢˋ / ㄔㄨㄥˊ ㄈㄢˋ,ㄓㄨㄥˋ ㄈㄢˋ,目前顯示=第1讀音,維持（已是主讀音）,,ㄓㄨㄥˋ ㄈㄢˋ＝罪刑重大的犯人。[例]為了防範重犯越獄，獄方已做好萬全的防備。 ‖ ㄔㄨㄥˊ ㄈㄢˋ＝重複做出同樣的錯誤。[例]假釋出獄不久，沒想到他又重犯傷害罪，再度入獄。
臭味相投,ㄔㄡˋ ㄨㄟˋ ㄒㄧㄤ ㄊㄡˊ / ㄒㄧㄡˋ ㄨㄟˋ ㄒㄧㄤ ㄊㄡˊ,ㄔㄡˋ ㄨㄟˋ ㄒㄧㄤˋ ㄊㄡˊ,目前顯示都不是,改 ㄔㄡˋ ㄨㄟˋ ㄒㄧㄤ ㄊㄡˊ,主讀音；目前「相」不對,ㄔㄡˋ ㄨㄟˋ ㄒㄧㄤ ㄊㄡˊ＝譏諷人因不良的興趣或習性相同而合得來。[例]他們都愛賭博，因此臭味相投，往來十分密切。 ‖ ㄒㄧㄡˋ ㄨㄟˋ ㄒㄧㄤ ㄊㄡˊ＝雙方因志趣、習性相同而投合。[例]他們兩個人都喜歡晨泳，臭味相投的成了好友。
出處,ㄔㄨ ㄔㄨˇ / ㄔㄨ ㄔㄨˋ,ㄔㄨ ㄔㄨˇ,目前顯示=第1讀音,維持（已是主讀音）,,ㄔㄨ ㄔㄨˇ＝出仕和隱退。語本《易經．繫辭上》。[例]偉大的政治家總是以促進國家利益、提高民眾福祉為奮鬥目標，至於自己的出處進退則從不 ‖ ㄔㄨ ㄔㄨˋ＝典故文詞等的來源、根據。[例]引用文獻資料，務必注明出處。
手卷,ㄕㄡˇ ㄐㄩㄢˋ / ㄕㄡˇ ㄐㄩㄢˇ,ㄕㄡˇ ㄐㄩㄢˋ,目前顯示=第1讀音,維持（已是主讀音）,,ㄕㄡˇ ㄐㄩㄢˋ＝書畫橫幅之類的長卷。因便於用手舒展或收藏，故稱為「手卷」。[例]這幅描繪江南風光的手卷是張大師的得意作品。 ‖ ㄕㄡˇ ㄐㄩㄢˇ＝一種以海苔包裹蘆筍、蝦子、柴魚、芝麻、沙拉等，捲成圓錐狀的日本料理。[例]小弟弟一口氣吃了五份手卷，還意猶未盡。
生意,ㄕㄥ ㄧˋ / ㄕㄥ ˙ㄧ,ㄕㄥ ㄧˋ,目前顯示=第1讀音,維持（已是主讀音）,,ㄕㄥ ㄧˋ＝生命力、生長的活力。[例]春雨滋長萬物，使大地顯得生意盎然。 ‖ ㄕㄥ ˙ㄧ＝商人之間的交易、買賣。[例]他因為做生意失敗而負債累累。
睡覺,ㄕㄨㄟˋ ㄐㄧㄠˋ / ㄕㄨㄟˋ ㄐㄩㄝˊ,ㄕㄨㄟˋ ㄐㄩㄝˊ,目前顯示=第2讀音,改 ㄕㄨㄟˋ ㄐㄧㄠˋ,目前 ㄐㄩㄝˊ 是古義「睡醒」，必改,ㄕㄨㄟˋ ㄐㄧㄠˋ＝閉上眼睛進入睡眠狀態。[例]時候不早了，大家趕快去睡覺吧！ ‖ ㄕㄨㄟˋ ㄐㄩㄝˊ＝睡醒。[例]雲髻半偏新睡覺，花冠不整下堂來。（唐．白居易〈長恨歌〉）
人家,ㄖㄣˊ ㄐㄧㄚ / ㄖㄣˊ ˙ㄐㄧㄚ,ㄖㄣˊ ㄐㄧㄚ,目前顯示=第1讀音,維持（已是主讀音）,,ㄖㄣˊ ㄐㄧㄚ＝1.民宅、民家。[例]山腰上有幾戶人家，以種茶為業。_x000D_ 2.門第、家世。[例]富貴人家、清白人家_x000D ‖ ㄖㄣˊ ˙ㄐㄧㄚ＝1.稱呼他人。[例]老師指著我說：「人家早就來了，就你一個人遲到。」_x000D_ 2.我。自稱詞，指自己。多有親暱或俏
字號,ㄗˋ ㄏㄠˋ / ㄗˋ ˙ㄏㄠ,ㄗˋ ㄏㄠˋ,目前顯示=第1讀音,維持（已是主讀音）,,ㄗˋ ㄏㄠˋ＝以特用的文字及阿拉伯數字所作的號碼。[例]公文字號、身分證字號 ‖ ㄗˋ ˙ㄏㄠ＝指商店或商店的名稱。[例]這家油行開了幾十年，稱得上是老字號了。
攢錢,ㄗㄢˇ ㄑㄧㄢˊ / ㄘㄨㄢˊ ㄑㄧㄢˊ,ㄗㄢˇ ㄑㄧㄢˊ,目前顯示=第1讀音,維持（已是主讀音）,,ㄗㄢˇ ㄑㄧㄢˊ＝集聚、積存錢財。[例]為了維持一家十口的生計，他日夜辛勤的攢錢。 ‖ ㄘㄨㄢˊ ㄑㄧㄢˊ＝湊集眾人所出的錢。[例]大家攢錢替他解決困難。
散光,ㄙㄢˇ ㄍㄨㄤ / ㄙㄢˋ ㄍㄨㄤ,ㄙㄢˋ ㄍㄨㄤ,目前顯示=第2讀音,改 ㄙㄢˇ ㄍㄨㄤ,視力散光；主讀音,ㄙㄢˇ ㄍㄨㄤ＝由於眼角膜形狀不規則或水晶體異常而造成的視力障礙。散光患者兩眼看到的影像無法合而為一，為使能看清物體，需常調整焦距，所以 ‖ ㄙㄢˋ ㄍㄨㄤ＝光線遇到不規則形狀的物體或空氣中的微點，而向四方擴散反射的現象。[例]利用散光的攝影技巧，可使相片裡的光線變得更柔和。
所長,ㄙㄨㄛˇ ㄔㄤˊ / ㄙㄨㄛˇ ㄓㄤˇ,ㄙㄨㄛˇ ㄔㄤˊ,目前顯示=第1讀音,維持（已是主讀音）,,ㄙㄨㄛˇ ㄔㄤˊ＝指某方面的優點或擅長的技能。[例]公司派小張接任這個職務，對他而言正是發揮所長的好機會。 ‖ ㄙㄨㄛˇ ㄓㄤˇ＝一所的負責人。如衛生所所長、研究所所長。
隨從,ㄙㄨㄟˊ ㄗㄨㄥˋ / ㄙㄨㄟˊ ㄘㄨㄥˊ,ㄙㄨㄟˊ ㄘㄨㄥˊ,目前顯示=第2讀音,改 ㄙㄨㄟˊ ㄗㄨㄥˋ,名詞用法；主讀音,ㄙㄨㄟˊ ㄗㄨㄥˋ＝跟隨的人。[例]古代的權貴出門總是帶著一群隨從。 ‖ ㄙㄨㄟˊ ㄘㄨㄥˊ＝跟隨、跟從。[例]我們隨從導遊，到處參觀。
孫子,ㄙㄨㄣ ㄗˇ / ㄙㄨㄣ ˙ㄗ,ㄙㄨㄣ ㄗˇ,目前顯示=第1讀音,維持（已是主讀音）,,ㄙㄨㄣ ㄗˇ＝1.人名。即孫武。春秋時齊國人，生卒年不詳，著有兵法，嘗為吳王闔閭練兵。 2.書名。春秋孫武撰，一卷，十三篇。為古代的兵 ‖ ㄙㄨㄣ ˙ㄗ＝稱謂：(1) 稱兒子的兒子，今亦稱女兒的兒子。[例]張奶奶時常帶著孫子到公園玩耍。 (2) 泛稱兒女的子女。[例]老壽星
哀樂,ㄞ ㄌㄜˋ / ㄞ ㄩㄝˋ,ㄞ ㄌㄜˋ,目前顯示=第1讀音,維持（已是主讀音）,,ㄞ ㄌㄜˋ＝悲傷與歡樂。[例]小說中人物的喜怒哀樂常常牽引著讀者的情緒。 ‖ ㄞ ㄩㄝˋ＝喪葬祭祀時所奏，用來表示哀傷的音樂。[例]杜鵑的叫聲，好似淒絕的哀樂。
一行,ㄧ ㄒㄧㄥˊ / ㄧ ㄏㄤˊ,ㄧ ㄒㄧㄥˊ,目前顯示=第1讀音,維持（已是主讀音）,,ㄧ ㄒㄧㄥˊ＝一群。多指同行或共事的人。[例]我們一行十人，將於明日起程到歐洲去旅遊。 ‖ ㄧ ㄏㄤˊ＝1.單一的行列。[例]這張圖片的旁邊有一行文字，用來說明圖片內容。 2.行業的一種或同一的行業。[例]做一行怨一行是現代
疑難,ㄧˊ ㄋㄢˋ / ㄧˊ ㄋㄢˊ,ㄧˊ ㄋㄢˊ,目前顯示=第2讀音,維持 ㄧˊ ㄋㄢˊ,疑難問題,ㄧˊ ㄋㄢˋ＝質疑責難。[例]瓜田納履，李下整冠，難免遭人疑難。 ‖ ㄧˊ ㄋㄢˊ＝有疑惑難以判斷或處理。[例]疑難問題
意思,ㄧˋ ˙ㄙ / ㄧˋ ㄙ,ㄧˋ ㄙ,目前顯示=第2讀音,改 ㄧˋ ˙ㄙ,「什麼意思」；主讀音,ㄧˋ ˙ㄙ＝1.意旨、意義。[例]這段文字的意思艱深，不容易了解。 2.情趣、趣味。[例]晚會冷場太多，沒什麼意思。 3.道義、交情 ‖ ㄧˋ ㄙ＝心意、想法。[例]仔細推敲對方的意思，似乎同意我們的看法。
應付,ㄧㄥ ㄈㄨˋ / ㄧㄥˋ ㄈㄨˋ,ㄧㄥ ㄈㄨˋ,目前顯示=第1讀音,維持（已是主讀音）,,ㄧㄥ ㄈㄨˋ＝應該支付、付給。[例]這批貨物的應付帳款為十萬元。 ‖ ㄧㄥˋ ㄈㄨˋ＝1.對事或人採取合宜的應對措施。[例]這個問題很棘手，他可能應付不來。 2.敷衍。[例]如果有人找經理，請小王先去應付一
外傳,ㄨㄞˋ ㄓㄨㄢˋ / ㄨㄞˋ ㄔㄨㄢˊ,ㄨㄞˋ ㄔㄨㄢˊ,目前顯示=第2讀音,維持 ㄨㄞˋ ㄔㄨㄢˊ,傳聞,ㄨㄞˋ ㄓㄨㄢˋ＝稱正史以外的記載。如《春秋外傳》、《韓詩外傳》、《漢武外傳》、《飛燕外傳》。 △別傳 ‖ ㄨㄞˋ ㄔㄨㄢˊ＝外面所傳聞。[例]外傳那名歌星已經結婚了。
完了,ㄨㄢˊ ㄌㄧㄠˇ / ㄨㄢˊ ˙ㄌㄜ,ㄨㄢˊ ˙ㄌㄜ,目前顯示=第2讀音,維持 ㄨㄢˊ ˙ㄌㄜ,口語,ㄨㄢˊ ㄌㄧㄠˇ＝完結、完畢。[例]待手邊這件案子完了，他就要飛往夏威夷度假。 ‖ ㄨㄢˊ ˙ㄌㄜ＝無法挽救、完蛋。[例]如果今天還不能交出稿子，我就完了。
萬難,ㄨㄢˋ ㄋㄢˊ / ㄨㄢˋ ㄋㄢˋ,ㄨㄢˋ ㄋㄢˊ,目前顯示=第1讀音,維持（已是主讀音）,,ㄨㄢˋ ㄋㄢˊ＝極難。[例]這件事困難重重，萬難成功。 ‖ ㄨㄢˋ ㄋㄢˋ＝各種困難。[例]多虧大家共同排除萬難，公司業務才得以繼續推展。
運氣,ㄩㄣˋ ㄑㄧˋ / ㄩㄣˋ ˙ㄑㄧ,ㄩㄣˋ ㄑㄧˋ,目前顯示=第1讀音,維持（已是主讀音）,,ㄩㄣˋ ㄑㄧˋ＝將全身的力氣運行聚集蓄勢待發。[例]據說他打坐運氣之後，力量可以大到將石頭捏碎的程度。 ‖ ㄩㄣˋ ˙ㄑㄧ＝氣數，僥倖或意料之外的遭遇。[例]他最近的運氣很差，家裡時常遭竊。
